Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles,Min-Height(feet),Max-Height(feet),Min-Height(cm),Max-Height(cm),Min-Spread(feet),Max-Spread(feet),Min-Spread(cm),Max-Spread(cm),Hardiness(Min),Hardiness(Max)
ceanothus el dorado california lilac,"7
– 11",68,shrubs,28,full sun,1,"6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)","low, average",1,,"moist but well-drained, well-drained",30,"deer, drought, rabbit, dry soil, rocky soil",beds and bordershedges and screenswall-side borders,informal and cottagemediterranean garden,10,12,11,12,6,10,180,300.0,8,4
ceanothus julia phelps small leaf mountain lilac,"8
– 10",59,shrubs,28,full sun,5,"6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",low,1,,well-drained,31,drought,banks and slopesbeds and bordershedges and screens,coastal gardenmediterranean garden,10,13,11,13,6,8,180,240.0,3,3
ceanothus pershore zanzibar california lilac,"8
– 10",69,shrubs,28,full sun,1,"5'
– 8'
(150cm
– 240cm)","5'
– 8'
(150cm
– 240cm)","low, average",1,,"moist but well-drained, well-drained",30,"deer, drought, rabbit, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean garden,11,13,12,13,5,8,150,240.0,3,3
ceanothus puget blue california lilac,"7
– 10",70,shrubs,28,"full sun, partial sun",1,"6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)","low, average",1,,"moist but well-drained, well-drained",25,"deer, drought, rabbit, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean garden,10,13,11,13,6,8,180,240.0,8,3
ceanothus ray hartman california lilac,"9
– 11",71,"shrubs, trees",28,full sun,1,"12'
– 20'
(3.6m
– 6m)","10'
– 20'
(3m
– 6m)",low,1,,well-drained,25,"drought, dry soil, rocky soil, salt",beds and bordershedges and screens,coastal gardeninformal and cottagemediterranean garden,6,10,7,10,10,20,300,600.0,5,4
ceanothus remote blue mountain lilac,"8
– 10",59,shrubs,28,full sun,5,"6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",low,1,,well-drained,31,drought,beds and bordershedges and screens,mediterranean garden,10,13,11,13,6,8,180,240.0,3,3
ceanothus skylark california lilac,"7
– 10",67,shrubs,28,"full sun, partial sun",1,"4'
– 6'
(120cm
– 180cm)","9'
– 12'
(270cm
– 3.6m)","low, average",1,,"moist but well-drained, well-drained",25,"deer, drought, rabbit, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean garden,2,2,2,2,9,12,270,360.0,8,3
ceanothus tuxedo california lilac,"8
– 10",59,shrubs,28,"full sun, partial sun",6,"6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",low,1,,well-drained,32,"drought, dry soil, rocky soil",beds and bordershedges and screenswall-side borders,informal and cottagemediterranean garden,10,13,11,13,6,8,180,240.0,3,3
ceanothus victoria california lilac,"7
– 10",25,shrubs,28,full sun,1,"4'
– 6'
(120cm
– 180cm)","9'
– 12'
(270cm
– 3.6m)",low,1,,well-drained,30,"deer, drought, rabbit, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean garden,2,2,2,2,9,12,270,360.0,8,3
ceanothus  delileanus gloire de versailles california lilac,"6
– 10",72,shrubs,28,"full sun, partial sun",1,"3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",average,1,,"moist but well-drained, well-drained",33,"deer, drought, rabbit, salt",beds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean garden,0,0,0,0,3,5,90,150.0,0,3
ceanothus  pallidus marie simon california lilac,"6
– 11",59,shrubs,28,full sun,3,"4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,1,,"moist but well-drained, well-drained",7,"deer, drought, rabbit",beds and borderssmall gardenswall-side borders,informal and cottagemediterranean garden,2,0,2,0,4,5,120,150.0,0,4
ceanothus arboreus trewithen blue california lilac,"8
– 10",59,shrubs,28,"full sun, partial sun",1,"15'
– 20'
(4.5m
– 6m)","20'
– 25'
(6m
– 7.5m)",low,1,,well-drained,29,"deer, drought, rabbit, dry soil, rocky soil",beds and bordershedges and screenswall-side borders,informal and cottagemediterranean garden,8,10,9,10,20,25,600,750.0,3,3
ceanothus cuneatus buckbrush,"8
– 11",73,shrubs,28,full sun,7,"5'
– 12'
(150cm
– 3.6m)","5'
– 12'
(150cm
– 3.6m)",low,2,,well-drained,21,"deer, drought, dry soil, rocky soil",banks and slopeshedges and screens,mediterranean garden,11,5,12,5,5,12,150,360.0,3,4
ceanothus impressus var. nipomensis arroyo grande lilac,"8
– 10",59,shrubs,28,full sun,5,"6'
– 8'
(180cm
– 240cm)","8'
– 10'
(240cm
– 3m)",low,8,,well-drained,31,"deer, drought, rabbit, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardenmediterranean garden,10,13,11,13,8,10,240,300.0,3,3
ceanothus integerrimus deerbrush,"7
– 9",74,shrubs,28,full sun,1,"3'
– 13'
(90cm
– 3.9m)","5'
– 7'
(150cm
– 210cm)",low,2,,well-drained,20,"clay soil, drought, dry soil",banks and slopesbeds and borders,informal and cottagemediterranean garden,0,14,0,14,5,7,150,210.0,8,0
ceanothus oliganthus hairy ceanothus,"7
– 10",59,shrubs,28,full sun,2,"8'
– 10'
(240cm
– 3m)","10'
– 12'
(3m
– 3.6m)",low,2,,well-drained,21,"clay soil, drought",banks and slopesbeds and bordershedges and screens,coastal gardeninformal and cottagemediterranean garden,12,12,13,12,10,12,300,360.0,8,3
ceanothus thyrsiflorus snow flurry california lilac,"7
– 11",59,"shrubs, trees",28,"full sun, partial sun",5,"6'
– 10'
(180cm
– 3m)","8'
– 12'
(240cm
– 3.6m)","low, average",1,,"moist but well-drained, well-drained",21,"clay soil, drought",hedges and screens,city and courtyardinformal and cottagemediterranean garden,10,12,11,12,8,12,240,360.0,8,4
ceanothus thyrsiflorus blue blossom,"7
– 11",59,shrubs,28,"full sun, partial sun",5,"15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)","low, average",1,,"moist but well-drained, well-drained",1,"clay soil, drought, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,city and courtyardcoastal gardeninformal and cottagemediterranean garden,8,10,9,10,15,20,450,600.0,8,4
ceanothus thyrsiflorus var. repens creeping blue blossom,"7
– 11",59,shrubs,28,"full sun, partial sun",5,"2'
– 3'
(60cm
– 90cm)","6'
– 10'
(180cm
– 3m)","low, average",1,,"moist but well-drained, well-drained",3,"clay soil, drought",banks and slopesbeds and bordersground coverswall-side borders,city and courtyardinformal and cottagemediterranean garden,1,1,1,1,6,10,180,300.0,8,4
cercis chinensis don egolf chinese redbud,"6
– 9",24,"shrubs, trees",29,"full sun, partial sun",4,"10'
– 12'
(3m
– 3.6m)","10'
– 12'
(3m
– 3.6m)",average,4,,moist but well-drained,9,deer,beds and borderspatio and containerssmall gardens,informal and cottagetraditional garden,5,5,5,5,10,12,300,360.0,0,0
cercis occidentalis western redbud,"6
– 9",75,"shrubs, trees",29,"full sun, partial sun",2,"10'
– 15'
(3m
– 4.5m)","10'
– 15'
(3m
– 4.5m)",low,4,,well-drained,8,"clay soil, deer, drought",beds and borderssmall gardens,informal and cottagemediterranean gardentraditional garden,5,8,5,8,10,15,300,450.0,0,0
chaenomeles toyo nishiki japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",8,"7'
– 8'
(210cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",average,4,,"moist but well-drained, well-drained",7,"clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,9,13,10,13,6,8,180,240.0,2,0
chaenomeles japonica japanese quince,"5
– 9",77,shrubs,30,"full sun, partial sun",8,"2'
– 3'
(60cm
– 90cm)","3'
– 6'
(90cm
– 180cm)",average,4,,"moist but well-drained, well-drained",7,"clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,1,1,1,1,3,6,90,180.0,2,0
chaenomeles speciosa falconnet charlet japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",4,"5'
– 6'
(150cm
– 180cm)","8'
– 10'
(240cm
– 3m)",average,4,,"moist but well-drained, well-drained",7,"clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,11,2,12,2,8,10,240,300.0,2,0
chaenomeles speciosa geisha girl japanese quince,"4
– 8",76,shrubs,30,"full sun, partial sun",2,"4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,4,,"moist but well-drained, well-drained",11,"clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,2,0,2,0,4,5,120,150.0,1,5
chaenomeles speciosa kinshiden japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",8,"5'
– 8'
(150cm
– 240cm)","6'
– 10'
(180cm
– 3m)",average,4,,"moist but well-drained, well-drained",7,"clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,11,13,12,13,6,10,180,300.0,2,0
chaenomeles speciosa moerloosei japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",8,"3'
– 10'
(90cm
– 3m)","4'
– 15'
(120cm
– 4.5m)",average,4,,"moist but well-drained, well-drained",11,"clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,0,12,0,12,4,15,120,450.0,2,0
chaenomeles speciosa nivalis japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",8,"7'
– 8'
(210cm
– 240cm)","12'
– 13'
(3.6m
– 3.9m)",average,4,,"moist but well-drained, well-drained",7,"clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,9,13,10,13,12,13,360,390.0,2,0
chaenomeles speciosa double take orange japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",2,"4'
– 5'
(120cm
– 150cm)","3'
– 4'
(90cm
– 120cm)",average,4,,"moist but well-drained, well-drained",8,"clay soil, deer, drought",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,2,0,2,0,3,4,90,120.0,2,0
chaenomeles speciosa double take peach japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",5,"4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,4,,"moist but well-drained, well-drained",8,"clay soil, deer, drought",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,2,0,2,0,4,5,120,150.0,2,0
chaenomeles speciosa double take pink japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",2,"4'
– 5'
(120cm
– 150cm)","3'
– 4'
(90cm
– 120cm)",average,4,,"moist but well-drained, well-drained",8,"clay soil, deer, drought",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,2,0,2,0,3,4,90,120.0,2,0
chaenomeles speciosa double take scarlet japanese quince,"5
– 9",76,shrubs,30,"full sun,  partial sun",2,"4'
– 5'
(120cm
– 150cm)","3'
– 4'
(90cm
– 120cm)",average,4,,"moist but well-drained, well-drained",8,"clay soil, deer, drought",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,2,0,2,0,3,4,90,120.0,2,0
chaenomeles x superba cameo japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",9,"4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,4,,"moist but well-drained, well-drained",7,"clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,2,0,2,0,4,5,120,150.0,2,0
chaenomeles x superba coral sea japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",8,"2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)",average,4,,"moist but well-drained, well-drained",7,"clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,1,1,1,1,3,4,90,120.0,2,0
chaenomeles x superba crimson and gold japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",8,"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",average,4,,"moist but well-drained, well-drained",11,"clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,1,1,1,1,2,3,60,90.0,2,0
chaenomeles x superba jet trail japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",8,"3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)",average,4,,"moist but well-drained, well-drained",23,"clay soil, deer, drought, rabbit",banks and slopesbeds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,0,15,0,15,3,4,90,120.0,2,0
chaenomeles x superba knap hill scarlet japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",8,"4'
– 5'
(120cm
– 150cm)","5'
– 8'
(150cm
– 240cm)",average,4,,"moist but well-drained, well-drained",7,"clay soil, deer, drought, rabbit",banks and slopesbeds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,2,0,2,0,5,8,150,240.0,2,0
chaenomeles x superba lemon and lime japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",8,"4'
– 5'
(120cm
– 150cm)","5'
– 6'
(150cm
– 180cm)",average,4,,"moist but well-drained, well-drained",7,"clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,2,0,2,0,5,6,150,180.0,2,0
chaenomeles x superba nicoline japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",8,"3'
– 4'
(90cm
– 120cm)","5'
– 6'
(150cm
– 180cm)",average,4,,"moist but well-drained, well-drained",11,"clay soil, deer, drought, rabbit",banks and slopesbeds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,0,15,0,15,5,6,150,180.0,2,0
chaenomeles x superba pink lady japanese quince,"5
– 9",78,shrubs,30,"full sun, partial sun",8,"4'
– 5'
(120cm
– 150cm)","5'
– 6'
(150cm
– 180cm)",average,4,,"moist but well-drained, well-drained",11,"clay soil, deer, drought, rabbit",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean gardentraditional garden,2,0,2,0,5,6,150,180.0,2,0
chaenomeles x superba texas scarlet japanese quince,"5
– 9",76,shrubs,30,"full sun, partial sun",8,"3'
– 4'
(90cm
– 120cm)","4'
– 5'
(120cm
– 150cm)",average,4,,"moist but well-drained, well-drained",23,"clay soil, deer, drought, rabbit",banks and slopesbeds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,0,15,0,15,4,5,120,150.0,2,0
chamaecyparis obtusa pygmaea hinoki cypress,"4
– 8",79,"conifers, shrubs",31,"full sun, partial sun",2,"2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",average,4,,moist but well-drained,1,drought,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagetraditional garden,1,1,1,1,4,5,120,150.0,1,5
chamaecyparis pisifera curly tops sawara cypress,"4
– 8",79,"conifers, shrubs",31,"full sun, partial sun",2,"1'
– 5'
(30cm
– 150cm)","1'
– 5'
(30cm
– 150cm)",average,4,,moist but well-drained,3,drought,hedges and screens,city and courtyardgravel and rock gardeninformal and cottageprairie and meadowtraditional garden,3,0,3,0,1,5,30,150.0,1,5
chamaecyparis pisifera filifera aurea sawara cypress,"4
– 8",79,"conifers, shrubs",31,"full sun, partial sun",2,"6'
– 20'
(180cm
– 6m)","3'
– 7'
(90cm
– 210cm)",average,4,,moist but well-drained,3,drought,hedges and screens,city and courtyardgravel and rock gardeninformal and cottageprairie and meadowtraditional garden,10,10,11,10,3,7,90,210.0,1,5
chamaecyparis pisifera golden mop sawara cypress,"4
– 8",79,"conifers, shrubs",31,"full sun, partial sun",2,"1'
– 5'
(30cm
– 150cm)","1'
– 5'
(30cm
– 150cm)",average,4,,moist but well-drained,1,drought,hedges and screens,city and courtyardgravel and rock gardeninformal and cottageprairie and meadowtraditional garden,3,0,3,0,1,5,30,150.0,1,5
chamaecyparis pisifera soft serve sawara cypress,"4
– 8",79,"conifers, shrubs",31,"full sun, partial sun",2,"6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",average,4,,moist but well-drained,1,drought,beds and bordershedges and screens,city and courtyardinformal and cottagetraditional garden,10,12,11,12,6,10,180,300.0,1,5
chamaecyparis pisifera soft serve gold sawara cypress,"4
– 8",80,"conifers, shrubs",31,"full sun, partial sun",2,"6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",average,4,,moist but well-drained,1,drought,beds and bordershedges and screens,city and courtyardinformal and cottagetraditional garden,10,12,11,12,6,10,180,300.0,1,5
chimonanthus praecox grandiflorus wintersweet,"7
– 9",81,shrubs,32,full sun,8,"10'
– 15'
(3m
– 4.5m)","8'
– 12'
(240cm
– 3.6m)",average,4,,"moist but well-drained, well-drained",24,drought,beds and borderswall-side borders,city and courtyardinformal and cottagetraditional garden,5,8,5,8,8,12,240,360.0,8,0
chimonanthus praecox luteus wintersweet,"7
– 9",81,shrubs,32,full sun,8,"9'
– 10'
(270cm
– 3m)","7'
– 8'
(210cm
– 240cm)",average,4,,"moist but well-drained, well-drained",24,drought,beds and borderswall-side borders,city and courtyardinformal and cottagetraditional garden,14,12,20,12,7,8,210,240.0,8,0
chimonanthus praecox wintersweet,"7
– 9",81,shrubs,33,full sun,8,"10'
– 15'
(3m
– 4.5m)","8'
– 12'
(240cm
– 3.6m)",average,4,,"moist but well-drained, well-drained",23,drought,beds and borderswall-side borders,city and courtyardinformal and cottagetraditional garden,5,8,5,8,8,12,240,360.0,8,0
choisya ternata lich sundance mexican orange blossom,"7
– 10",67,shrubs,34,"full sun, partial sun",2,"4'
– 8'
(120cm
– 240cm)","4'
– 8'
(120cm
– 240cm)",average,4,,well-drained,6,"drought, rabbit",hedges and screenspatio and containerswall-side borders,city and courtyardmediterranean garden,2,13,2,13,4,8,120,240.0,8,3
choisya ternata mexican orange blossom,"8
– 10",67,shrubs,34,full sun,1,"4'
– 8'
(120cm
– 240cm)","4'
– 8'
(120cm
– 240cm)",average,4,,well-drained,6,"drought, rabbit",hedges and screenspatio and containerswall-side borders,city and courtyardmediterranean garden,2,13,2,13,4,8,120,240.0,3,3
cistus  hybridus little miss sunshine rockrose,"8
– 11",25,shrubs,35,full sun,3,"1'
(30cm)","1'
(30cm)",low,4,,well-drained,1,"deer, drought, dry soil, salt",banks and slopesbeds and bordersground covers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,3,-1,3,-1,1,,30,,3,4
cistus  skanbergii dwarf pink rockrose,"9
– 11",25,shrubs,35,full sun,1,"2'
– 4'
(60cm
– 120cm)","4'
– 5'
(120cm
– 150cm)",low,4,,well-drained,1,"deer, drought, dry soil, salt",banks and slopesbeds and bordersground coverspatio and containers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,15,1,15,4,5,120,150.0,5,4
cistus creticus cretan rockrose,"9
– 10",25,shrubs,35,full sun,1,"2'
– 5'
(60cm
– 150cm)","2'
– 3'
(60cm
– 90cm)",low,4,,well-drained,1,"deer, drought, dry soil, salt",banks and slopesbeds and bordersground coverswall-side borders,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,0,1,0,2,3,60,90.0,5,3
cistus creticus ssp. incanus pink rock rose,"9
– 10",25,shrubs,35,full sun,1,"2'
– 4'
(60cm
– 120cm)","2'
– 3'
(60cm
– 90cm)",low,4,,well-drained,1,"deer, drought, dry soil, salt",banks and slopesbeds and bordersground coverswall-side borders,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,15,1,15,2,3,60,90.0,5,3
cistus ladanifer crimsonspot rockrose,"7
– 10",25,shrubs,35,full sun,5,"3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",low,4,,well-drained,21,"deer, drought, dry soil",banks and slopesbeds and bordersground covers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,0,0,0,0,3,5,90,150.0,8,3
cistus purpureus purpleflowered rock rose,"7
– 10",25,shrubs,35,full sun,1,"4'
– 6'
(120cm
– 180cm)","4'
– 6'
(120cm
– 180cm)",low,4,,well-drained,3,"deer, drought, dry soil, salt",banks and slopesbeds and bordersground coverswall-side borders,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,2,2,2,2,4,6,120,180.0,8,3
cistus salviifolius prostratus sageleaf rockrose,"8
– 10",25,shrubs,35,full sun,1,"1'
– 2'
(30cm
– 60cm)","6'
– 8'
(180cm
– 240cm)",low,4,,well-drained,1,"deer, drought, dry soil, salt",banks and slopesbeds and bordersground covers,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,3,3,3,3,6,8,180,240.0,3,3
cistus x florentinus florentine rockrose,"8
– 10",25,shrubs,35,full sun,5,"2'
– 3'
(60cm
– 90cm)","3'
– 5'
(90cm
– 150cm)",low,4,,well-drained,1,"deer, drought, rabbit, salt",banks and slopesground covers,city and courtyardcoastal gardeninformal and cottagemediterranean garden,1,1,1,1,3,5,90,150.0,3,3
cistus x pulverulentus sunset magenta rock rose,"8
– 10",25,shrubs,35,full sun,1,"2'
– 3'
(60cm
– 90cm)","6'
– 8'
(180cm
– 240cm)",low,4,,well-drained,3,"deer, drought, dry soil, salt",banks and slopesbeds and bordersground coverswall-side borders,city and courtyardcoastal gardengravel and rock gardeninformal and cottagemediterranean garden,1,1,1,1,6,8,180,240.0,3,3
citrus  aurantiifolia key lime,"10
– 11",82,"fruit, shrubs, trees",36,full sun,2,"6'
– 15'
(180cm
– 4.5m)","2'
– 4'
(60cm
– 120cm)",average,9,,"moist but well-drained, well-drained",14,clay soil,patio and containers,informal and cottagemediterranean garden,10,8,11,8,2,4,60,120.0,4,4
citrus  latifolia persian lime,"9
– 11",82,"fruit, shrubs, trees",36,full sun,2,"15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)",average,9,,"moist but well-drained, well-drained",14,clay soil,patio and containers,informal and cottagemediterranean garden,8,10,9,10,15,20,450,600.0,5,4
clematis  durandii integrifolia group,"5
– 11",83,"perennials, shrubs",37,"full sun, partial sun",3,"6'
– 10'
(180cm
– 3m)","3'
– 6'
(90cm
– 180cm)",average,4,,moist but well-drained,9,"deer, rabbit",beds and borderswall-side borders,city and courtyardinformal and cottagetraditional garden,10,12,11,12,3,6,90,180.0,2,4
cleome isomeris bladderpod,"8
– 11",84,shrubs,38,full sun,2,"2'
– 6'
(60cm
– 180cm)","2'
– 6'
(60cm
– 180cm)",low,2,,well-drained,1,"deer, drought, salt",hedges and screens,gravel and rock gardeninformal and cottageprairie and meadow,1,2,1,2,2,6,60,180.0,3,4
clerodendrum bungei rose glory bower,"7
– 10",85,shrubs,39,"full sun, partial sun",0,"3'
– 6'
(90cm
– 180cm)","3'
– 6'
(90cm
– 180cm)",average,0,,"moist but well-drained, well-drained",0,"deer, drought",beds and borderswall-side borders,city and courtyardcoastal gardeninformal and cottage,0,2,0,2,3,6,90,180.0,8,3
clethra alnifolia caleb vanilla spice summersweet,"4
– 8",86,shrubs,40,"full sun, partial sun, shade",0,"3'
– 6'
(90cm
– 180cm)","3'
– 6'
(90cm
– 180cm)",average,1,,moist but well-drained,7,"clay soil, deer, salt, wet soil",beds and bordersponds and streamsrain gardens,coastal gardeninformal and cottageprairie and meadowtraditional garden,0,2,0,2,3,6,90,180.0,1,5
clethra alnifolia hummingbird summersweet,"3
– 9",87,shrubs,40,"full sun, partial sun, shade",0,"2'
– 4'
(60cm
– 120cm)","3'
– 5'
(90cm
– 150cm)",average,1,,moist but well-drained,11,"clay soil, deer, salt, wet soil",beds and bordersponds and streamsrain gardens,coastal gardeninformal and cottageprairie and meadowtraditional garden,1,15,1,15,3,5,90,150.0,6,0
clethra alnifolia ruby spice summersweet,"3
– 9",88,shrubs,40,"full sun, partial sun, shade",0,"4'
– 6'
(120cm
– 180cm)","3'
– 5'
(90cm
– 150cm)",average,1,,moist but well-drained,11,"clay soil, deer, salt, wet soil",beds and bordersponds and streamsrain gardens,coastal gardeninformal and cottageprairie and meadowtraditional garden,2,2,2,2,3,5,90,150.0,6,0
clethra alnifolia summersweet,"3
– 9",87,shrubs,40,"full sun, partial sun, shade",0,"3'
– 8'
(90cm
– 240cm)","4'
– 6'
(120cm
– 180cm)",average,1,,moist but well-drained,7,"clay soil, deer, salt, wet soil",beds and bordersponds and streamsrain gardens,coastal gardeninformal and cottageprairie and meadowtraditional garden,0,13,0,13,4,6,120,180.0,6,0
cordyline pink passion cabbage tree,"8
– 12",89,"shrubs, trees",41,"full sun, partial sun",2,"2'
– 4'
(60cm
– 120cm)","2'
– 4'
(60cm
– 120cm)","low, average",4,,"moist but well-drained, well-drained",21,"deer, drought, salt",beds and borderspatio and containers,city and courtyardcoastal gardeninformal and cottagemediterranean garden,1,15,1,15,2,4,60,120.0,3,6
cornus alba argenteomarginata tatarian dogwood,"3
– 7",90,shrubs,42,"full sun, partial sun",1,"4'
– 10'
(120cm
– 3m)","5'
– 8'
(150cm
– 240cm)",average,1,,"moist but well-drained, well-drained",16,"deer, rabbit, dry soil, wet soil",banks and slopesbeds and bordershedges and screens,city and courtyardinformal and cottageprairie and meadowtraditional garden,2,12,2,12,5,8,150,240.0,6,1
cornus alba aurea tatarian dogwood,"3
– 7",90,shrubs,42,"full sun, partial sun",1,"5'
– 8'
(150cm
– 240cm)","5'
– 8'
(150cm
– 240cm)",average,1,,"moist but well-drained, well-drained",16,"deer, rabbit, dry soil, wet soil",banks and slopesbeds and bordershedges and screens,informal and cottageprairie and meadowtraditional garden,11,13,12,13,5,8,150,240.0,6,1
cornus alba kesselringii tatarian dogwood,"2
– 7",90,shrubs,42,"full sun, partial sun",2,"4'
– 6'
(120cm
– 180cm)","3'
– 6'
(90cm
– 180cm)",average,4,,"moist but well-drained, well-drained",9,"deer, rabbit, dry soil, wet soil",banks and slopesbeds and bordershedges and screens,city and courtyardcoastal gardeninformal and cottageprairie and meadowtraditional garden,2,2,2,2,3,6,90,180.0,7,1
cornus alba sibirica tatarian dogwood,"3
– 7",90,shrubs,42,"full sun, partial sun",1,"4'
– 7'
(120cm
– 210cm)","3'
– 5'
(90cm
– 150cm)",average,4,,"moist but well-drained, well-drained",16,"deer, rabbit, dry soil, wet soil",banks and slopesbeds and bordershedges and screens,city and courtyardinformal and cottageprairie and meadowtraditional garden,2,16,2,17,3,5,90,150.0,6,1
cornus alba tatarian dogwood,"2
– 7",91,shrubs,42,"full sun, partial sun",1,"8'
– 10'
(240cm
– 3m)","8'
– 10'
(240cm
– 3m)",average,4,,"moist but well-drained, well-drained",8,"deer, rabbit, dry soil, wet soil",banks and slopesbeds and bordershedges and screens,city and courtyardinformal and cottageprairie and meadowtraditional garden,12,12,13,12,8,10,240,300.0,7,1
cornus alba baton rouge tatarian dogwood,"3
– 7",90,shrubs,42,"full sun, partial sun",1,"4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,1,,"moist but well-drained, well-drained",10,"deer, rabbit, dry soil, wet soil",banks and slopesbeds and bordershedges and screens,informal and cottagetraditional garden,2,0,2,0,4,5,120,150.0,6,1
