,Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles
379,Chamaecyparis lawsoniana 'Ellwoodii' (Lawson Cypress),"5
– 8","3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","13'
– 20'
(3.9m
– 6m)","5'
– 8'
(150cm
– 240cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",,"Beds and Borders,Hedges and Screens","City and Courtyard,Traditional Garden"
380,Chamaecyparis lawsoniana 'Minima Aurea' (Lawson Cypress),"5
– 8","3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","1'
– 3'
(30cm
– 90cm)","1'
– 2'
(30cm
– 60cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",,"Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
381,Chamaecyparis lawsoniana 'Minima Glauca' (Lawson Cypress),"5
– 8","3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","2'
– 3'
(60cm
– 90cm)","1'
– 2'
(30cm
– 60cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit,  Showy, Evergreen",,"Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
382,Chamaecyparis lawsoniana 'Silver Threads' (Lawson Cypress),"5
– 8","3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","3'
– 5'
(90cm
– 150cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen",,"Beds and Borders,Small Gardens","City and Courtyard,Informal and Cottage,Traditional Garden"
383,Chamaecyparis lawsoniana Pinpoint® Blue (Lawson Cypress),"5
– 7","3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 8'
(180cm
– 240cm)","5'
– 6'
(150cm
– 180cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen",,"Beds and Borders,Hedges and Screens,Patio and Containers",Traditional Garden
384,Chamaecyparis lawsoniana Pinpoint® Blue & Gold (Lawson Cypress),"5
– 7","3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 8'
(180cm
– 240cm)","5'
– 6'
(150cm
– 180cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen",,"Beds and Borders,Hedges and Screens,Patio and Containers",Traditional Garden
385,Chamaecyparis obtusa 'Fernspray Gold' (Hinoki Cypress),"4
– 8","2, 2B, 3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","5'
– 6'
(150cm
– 180cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam,  Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",,"Beds and Borders,Small Gardens","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
386,Chamaecyparis obtusa 'Kamarachiba' (Hinoki Cypress),"4
– 8","2, 2B, 3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,Full Sun,"Spring (Early,Mid,Late)","1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",,"Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
387,Chamaecyparis obtusa 'Nana Gracilis' (Hinoki Cypress),"4
– 8","2, 2B, 3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,Full Sun,"Spring (Early,Mid,Late)","3'
– 6'
(90cm
– 180cm)","2'
– 4'
(60cm
– 120cm)",Average,"Chalk, Clay, Loam,  Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",,"Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
388,Chamaecyparis obtusa 'Pygmaea' (Hinoki Cypress),"4
– 8","2, 2B, 3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen",Drought,"Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
389,Chamaecyparis pisifera 'Curly Tops' (Sawara Cypress),"4
– 8","2, 2B, 3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","1'
– 5'
(30cm
– 150cm)","1'
– 5'
(30cm
– 150cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",Drought,Hedges and Screens,"City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Prairie and Meadow,Traditional Garden"
390,Chamaecyparis pisifera 'Filifera Aurea' (Sawara Cypress),"4
– 8","2, 2B, 3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 20'
(180cm
– 6m)","3'
– 7'
(90cm
– 210cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",Drought,Hedges and Screens,"City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Prairie and Meadow,Traditional Garden"
391,Chamaecyparis pisifera 'Golden Mop' (Sawara Cypress),"4
– 8","2, 2B, 3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","1'
– 5'
(30cm
– 150cm)","1'
– 5'
(30cm
– 150cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen",Drought,Hedges and Screens,"City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Prairie and Meadow,Traditional Garden"
392,Chamaecyparis pisifera Soft Serve® (Sawara Cypress),"4
– 8","2, 2B, 3, 3A, 3B, 4, 5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen",Drought,"Beds and Borders,Hedges and Screens","City and Courtyard,Informal and Cottage,Traditional Garden"
393,Chamaecyparis pisifera Soft Serve® Gold (Sawara Cypress),"4
– 8","2, 2B, 3, 3A, 3B, 4,  5, 6, 15, 16, 17, A3","Conifers, Shrubs",Chamaecyparis - False Cypress,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen",Drought,"Beds and Borders,Hedges and Screens","City and Courtyard,Informal and Cottage,Traditional Garden"
394,Chamaedaphne calyculata (Leatherleaf),"3
– 7",,Shrubs,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","1'
– 3'
(30cm
 – 90cm)","1'
– 3'
(30cm
– 90cm)","Average, High",Loam,Acid,"Moist but Well-Drained, Poorly Drained","Showy, Evergreen",,"Beds and Borders,Bog Gardens,Ponds and Streams",Informal and Cottage
395,Chilopsis linearis (Desert Willow),"7
– 11","3B, 7, 8, 9, 10, 11, 12, 13, 14, 18, 19, 20, 21, 22, 23","Shrubs, Trees",,Full Sun,Spring (Late),"15'
– 30'
(4.5m
– 9m)","10'
– 20'
(3m
– 6m)",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Showy",Drought,Beds and Borders,Mediterranean Garden
396,Chimonanthus praecox 'Grandiflorus' (Wintersweet),"7
– 9","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21",Shrubs,Chimonanthus - Wintersweets,Full Sun,Spring (Early),"10'
– 15'
(3m
– 4.5m)","8'
– 12'
(240cm
– 3.6m)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Fragrant, Plant of Merit, Showy",Drought,"Beds and Borders,Wall-Side Borders","City and Courtyard,Informal and Cottage,Traditional Garden"
397,Chimonanthus praecox 'Luteus' (Wintersweet),"7
– 9","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21",Shrubs,Chimonanthus - Wintersweets,Full Sun,Spring (Early),"9'
– 10'
(270cm
– 3m)","7'
– 8'
(210cm
– 240cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Fragrant, Plant of Merit, Showy",Drought,"Beds and Borders,Wall-Side Borders","City and Courtyard,Informal and Cottage,Traditional Garden"
398,Chimonanthus praecox (Wintersweet),"7
– 9","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21",Shrubs,"Calycanthus - Sweetshrubs, Chimonanthus - Wintersweets",Full Sun,Spring (Early),"10'
– 15'
(3m
– 4.5m)","8'
– 12'
(240cm
– 3.6m)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Fragrant, Showy",Drought,"Beds and Borders,Wall-Side Borders","City and Courtyard,Informal and Cottage,Traditional Garden"
399,Chionanthus retusus (Chinese Fringe Tree),"5
– 9","3, 4, 5, 6, 7, 8, 9","Shrubs, Trees",,"Full Sun, Partial Sun",Spring (Late),"10'
– 20'
(3m
– 6m)","10'
– 20'
(3m
– 6m)",Average,"Clay, Loam",Acid,Well-Drained,"Fragrant, Showy",,"Beds and Borders,Ponds and Streams,Rain Gardens","City and Courtyard,Informal and Cottage"
400,Chionanthus virginicus (Fringe Tree),"3
– 9","2, 3, 4, 5, 6, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",,"Full Sun, Partial Sun",Spring (Late),"12'
– 20'
(3.6m
– 6m)","12'
– 20'
(3.6m
– 6m)",Average,"Clay, Loam",Acid,Well-Drained,"Fragrant, Plant of Merit,  Showy",Clay Soil,"Beds and Borders,Wall-Side Borders","City and Courtyard,Informal and Cottage,Traditional Garden"
401,Choisya ternata 'Lich' SUNDANCE (Mexican Orange Blossom),"7
– 10","6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Choisya - Mexican Oranges,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","4'
– 8'
(120cm
– 240cm)","4'
– 8'
(120cm
– 240cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen","Drought, Rabbit","Hedges and Screens,Patio and Containers,Wall-Side Borders","City and Courtyard,Mediterranean Garden"
402,Choisya ternata (Mexican Orange Blossom),"8
– 10","6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Choisya - Mexican Oranges,Full Sun,Spring (Late),"4'
– 8'
(120cm
– 240cm)","4'
– 8'
(120cm
– 240cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen","Drought, Rabbit","Hedges and Screens,Patio and Containers,Wall-Side Borders","City and Courtyard,Mediterranean Garden"
403,Choisya x dewitteana 'Aztec Pearl' (Mexican Orange),"8
– 10",,Shrubs,Choisya - Mexican Oranges,Full Sun,Spring (Late),"7'
– 8'
(210cm
– 240cm)","7'
– 8'
(210cm
– 240cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen","Drought, Rabbit","Hedges and Screens,Patio and Containers,Wall-Side Borders","City and Courtyard,Mediterranean Garden"
404,Choisya x dewitteana 'Londaz' WHITE DAZZLER (Mexican Orange),"8
– 10",,Shrubs,Choisya - Mexican Oranges,Full Sun,Spring (Late),"4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen","Drought, Rabbit","Hedges and Screens,Patio and Containers,Small Gardens,Wall-Side Borders","City and Courtyard,Mediterranean Garden"
405,Chrysactinia mexicana (Damianita),"7
– 11","10,  11, 12, 13, 18, 19, 20, 21, 22, 23, 24",Shrubs,,Full Sun,"Spring (Mid,Late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Showy, Evergreen","Deer, Drought, Dry Soil","Banks and Slopes,Beds and Borders,Ground Covers","Gravel and Rock Garden,Informal and Cottage,Prairie and Meadow"
406,Chrysobalanus icaco (Coco Plum),"10
– 12",,"Shrubs, Trees",,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","10'
– 30'
(3m
– 9m)","10'
– 20'
(3m
– 6m)","Low, Average","Clay, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Evergreen, Fruit & Berries","Drought, Salt","Ground Covers,Hedges and Screens",Coastal Garden
407,Chrysothamnus viscidiflorus (Yellow Rabbitbrush),"3
– 8","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 10, 11",Shrubs,,Full Sun,"Summer (Early,Mid,Late)","1'
– 3'
(30cm
– 90cm)",,Low,"Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"Drought, Dry Soil, Salt",,Prairie and Meadow
408,Cistus × hybridus Little Miss Sunshine (Rockrose),"8
– 11","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Cistus - Rock Roses,Full Sun,"Summer (Early,Mid,Late)","1'
(30cm)","1'
(30cm)",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Showy, Evergreen","Deer, Drought, Dry Soil, Salt","Banks and Slopes,Beds and Borders,Ground Covers","City and Courtyard,Coastal Garden,Gravel and Rock Garden,Informal and Cottage,Mediterranean Garden"
409,Cistus × skanbergii (Dwarf Pink Rockrose),"9
– 11","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Cistus - Rock Roses,Full Sun,Spring (Late),"2'
– 4'
(60cm
– 120cm)","4'
– 5'
(120cm
– 150cm)",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Showy, Evergreen","Deer, Drought, Dry Soil, Salt","Banks and Slopes,Beds and Borders,Ground Covers,Patio and Containers","City and Courtyard,Coastal Garden,Gravel and Rock Garden,Informal and Cottage,Mediterranean Garden"
410,Cistus creticus (Cretan Rockrose),"9
– 10","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Cistus - Rock Roses,Full Sun,Spring (Late),"2'
– 5'
(60cm
– 150cm)","2'
– 3'
(60cm
– 90cm)",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Showy, Evergreen","Deer, Drought, Dry Soil, Salt","Banks and Slopes,Beds and Borders,Ground Covers,Wall-Side Borders","City and Courtyard,Coastal Garden,Gravel and Rock Garden,Informal and Cottage,Mediterranean Garden"
411,Cistus creticus ssp. incanus (Pink Rock Rose),"9
– 10","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Cistus - Rock Roses,Full Sun,Spring (Late),"2'
– 4'
(60cm
– 120cm)","2'
– 3'
(60cm
– 90cm)",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Showy, Evergreen","Deer, Drought, Dry Soil, Salt","Banks and Slopes,Beds and Borders,Ground Covers,Wall-Side Borders","City and Courtyard,Coastal Garden,Gravel and Rock Garden,Informal and Cottage,Mediterranean Garden"
412,Cistus ladanifer (Crimson-Spot Rockrose),"7
– 10","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Cistus - Rock Roses,Full Sun,"Spring (Mid,Late)","3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Showy, Evergreen","Deer, Drought, Dry Soil","Banks and Slopes,Beds and Borders,Ground Covers","City and Courtyard,Coastal Garden,Gravel and Rock Garden,Informal and Cottage,Mediterranean Garden"
413,Cistus purpureus (Purple-Flowered Rock Rose),"7
– 10","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Cistus - Rock Roses,Full Sun,Spring (Late),"4'
– 6'
(120cm
– 180cm)","4'
– 6'
(120cm
– 180cm)",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Plant of Merit, Showy, Evergreen","Deer, Drought, Dry Soil, Salt","Banks and Slopes,Beds and Borders,Ground Covers,Wall-Side Borders","City and Courtyard,Coastal Garden,Gravel and Rock Garden,Informal and Cottage,Mediterranean Garden"
414,Cistus salviifolius 'Prostratus' (Sageleaf Rockrose),"8
– 10","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Cistus - Rock Roses,Full Sun,Spring (Late),"1'
– 2'
(30cm
– 60cm)","6'
– 8'
(180cm
– 240cm)",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Showy, Evergreen","Deer, Drought, Dry Soil, Salt","Banks and Slopes,Beds and Borders,Ground Covers","City and Courtyard,Coastal Garden,Gravel and Rock Garden,Informal and Cottage,Mediterranean Garden"
415,Cistus x florentinus (Florentine Rockrose),"8
– 10","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Cistus - Rock Roses,Full Sun,"Spring (Mid,Late)","2'
– 3'
(60cm
– 90cm)","3'
– 5'
(90cm
– 150cm)",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Showy, Evergreen","Deer, Drought, Rabbit, Salt","Banks and Slopes,Ground Covers","City and Courtyard,Coastal Garden,Informal and Cottage,Mediterranean Garden"
416,Cistus x pulverulentus 'Sunset' (Magenta Rock Rose),"8
– 10","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Cistus - Rock Roses,Full Sun,Spring (Late),"2'
– 3'
(60cm
– 90cm)","6'
– 8'
(180cm
– 240cm)",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Plant of Merit, Showy, Evergreen","Deer, Drought, Dry Soil, Salt","Banks and Slopes,Beds and Borders,Ground Covers,Wall-Side Borders","City and Courtyard,Coastal Garden,Gravel and Rock Garden,Informal and Cottage,Mediterranean Garden"
417,Citharexylum spinosum (Florida Fiddlewood),"9
– 11",,"Shrubs, Trees",,Partial Sun,"Spring (Early,Mid,Late)","15'
– 35'
(4.5m
– 10.5m)","8'
– 25'
(240cm
 – 7.5m)",Average,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy, Evergreen, Fruit & Berries","Drought, Dry Soil, Salt",Hedges and Screens,Coastal Garden
418,Citrus × aurantiifolia (Key Lime),"10
– 11","7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Fruit, Shrubs, Trees",Citrus,Full Sun,"Spring (Early,Mid,Late)","6'
– 15'
(180cm
– 4.5m)","2'
– 4'
(60cm
– 120cm)",Average,Loam,"Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Evergreen, Fruit & Berries",Clay Soil,Patio and Containers,"Informal and Cottage,Mediterranean Garden"
419,Citrus × latifolia 'Bearss Lime' (Persian Lime),"9
– 11","7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23,  24, H1, H2","Fruit, Shrubs",Citrus,Full Sun,"Spring (Early,Mid,Late)","3'
– 15'
(90cm
– 4.5m)",,Average,Loam,"Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Evergreen, Fruit & Berries",Clay Soil,Patio and Containers,"Informal and Cottage,Mediterranean Garden"
420,Citrus × latifolia (Persian Lime),"9
– 11","7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Fruit, Shrubs, Trees",Citrus,Full Sun,"Spring (Early,Mid,Late)","15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)",Average,Loam,"Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Evergreen, Fruit & Berries",Clay Soil,Patio and Containers,"Informal and Cottage,Mediterranean Garden"
421,Citrus hystrix (Thai Lime),"10
– 12","7, 8,  9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Fruit, Shrubs, Trees",Citrus,Full Sun,"Spring (Early,Mid,Late)","6'
– 25'
(180cm
– 7.5m)","5'
– 12'
(150cm
– 3.6m)",Average,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Showy, Evergreen, Fruit & Berries",,Patio and Containers,Mediterranean Garden
422,Citrus japonica (Kumquat),"9
– 11","7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Fruit, Shrubs, Trees",Citrus,Full Sun,"Spring (Early,Mid,Late)","8'
– 15'
(240cm
– 4.5m)","8'
– 15'
(240cm
– 4.5m)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen, Fruit & Berries",,Patio and Containers,"Informal and Cottage,Mediterranean Garden"
423,Citrus maxima (Pummelo),"9
– 11","7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24,  H1, H2","Fruit, Shrubs, Trees",Citrus,Full Sun,"Spring (Early,Mid,Late)","15'
– 50'
(4.5m
– 15m)",,Average,Loam,"Acid, Neutral",Moist but Well-Drained,"Fragrant, Showy, Evergreen, Fruit & Berries",,Patio and Containers,"City and Courtyard,Mediterranean Garden"
424,Citrus x limon 'Meyer' (Meyer's Lemon),"9
– 11","7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Fruit, Shrubs",Citrus,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","4'
– 8'
(120cm
– 240cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen, Fruit & Berries",,Patio and Containers,"Informal and Cottage,Mediterranean Garden"
425,Citrus x microcarpa (Calamondin),"10
– 11","7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Fruit, Shrubs",Citrus,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","4'
– 5'
(120cm
– 150cm)",Average,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen, Fruit & Berries",,"Hedges and Screens,Patio and Containers","Informal and Cottage,Mediterranean Garden"
426,Clematis 'New Love' (Herbaceous Group),"5
– 9",,Shrubs,Clematis,Full Sun,"Summer (Mid,Late)","2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","Deer, Rabbit","Beds and Borders,Patio and Containers,Underplanting Roses and Shrubs",Informal and Cottage
427,Clematis 'Pixie' (Evergreen Group),"7
– 9",,"Climbers, Shrubs",Clematis,"Full Sun, Partial Sun",Spring (Late),"3'
– 4'
(90cm
– 120cm)",,"Low, Average","Chalk, Loam, Sand","Alkaline, Neutral",Well-Drained,"Fragrant, Showy, Evergreen","Deer, Rabbit","Beds and Borders,Patio and Containers,Small Gardens,Wall-Side Borders","City and Courtyard,Gravel and Rock Garden,Informal and Cottage"
428,Clematis × durandii (Integrifolia Group),"5
– 11","1A, 1B, 2A, 2B, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A1, A2, A3","Perennials, Shrubs",Clematis,"Full Sun, Partial Sun","Summer (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","3'
– 6'
(90cm
– 180cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Plant of Merit, Showy","Deer, Rabbit","Beds and Borders,Wall-Side Borders","City and Courtyard,Informal and Cottage,Traditional Garden"
429,Cleome isomeris (Bladderpod),"8
– 11","8, 9, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24",Shrubs,Cleome - Spider Flowers,Full Sun,"Spring (Early,Mid,Late)","2'
– 6'
(60cm
– 180cm)","2'
– 6'
(60cm
– 180cm)",Low,"Loam, Sand","Alkaline, Neutral",Well-Drained,"Showy, Evergreen","Deer, Drought, Salt",Hedges and Screens,"Gravel and Rock Garden,Informal and Cottage,Prairie and Meadow"
430,Clerodendrum bungei (Rose Glory Bower),"7
– 10","5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Shrubs,Clerodendrum,"Full Sun, Partial Sun","Summer (Mid,Late)","3'
– 6'
(90cm
– 180cm)","3'
– 6'
(90cm
– 180cm)",Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Semi-Evergreen","Deer, Drought","Beds and Borders,Wall-Side Borders","City and Courtyard,Coastal Garden,Informal and Cottage"
