Unnamed: 0,Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles,Min-Height(feet),Max-Height(feet),Min-Height(cm),Max-Height(cm),Min-Spread(feet),Max-Spread(feet),Min-Spread(cm),Max-Spread(cm),Hardiness(Min),Hardiness(Max)
326,ceanothus autumnal blue california lilac,"8
– 10","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,full sun,summer (late),"10'
(3m)","10'
(3m)",low,"clay, loam, sand",,"moist but well-drained, well-drained","cut flowers, fragrant, plant of merit, showy, evergreen","deer, drought, rabbit",wall-side borders,city and courtyardinformal and cottagemediterranean garden,10,nan,300,,10,nan,300,,8,10
327,ceanothus concha california lilac,"7
– 10","6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,"full sun, partial sun",spring (late),"4'
– 8'
(120cm
– 240cm)","6'
– 12'
(180cm
– 3.6m)","low, average","clay, loam, sand",,"moist but well-drained, well-drained","cut flowers, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil, salt",beds and bordershedges and screenswall-side borders,informal and cottagemediterranean garden,4,8,120,240,6,12,180,360,7,10
328,ceanothus dark star california lilac,"8
– 10","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,"full sun, partial sun",spring (late),"5'
– 6'
(150cm
– 180cm)","8'
– 10'
(240cm
– 3m)",low,"clay, loam, sand",,well-drained,"cut flowers, fragrant, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean garden,5,6,150,180,8,10,240,300,8,10
329,ceanothus el dorado california lilac,"7
– 11","1, 1a, 1b, 2, 2a, 2b,  3, 3a, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,full sun,spring (late),"6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)","low, average","clay, loam, sand",,"moist but well-drained, well-drained","cut flowers, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",beds and bordershedges and screenswall-side borders,informal and cottagemediterranean garden,6,10,180,300,6,10,180,300,7,11
330,ceanothus julia phelps small leaf mountain lilac,"8
– 10","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,full sun,"spring (mid,late)","6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",low,"clay, loam, sand",,well-drained,"cut flowers, fragrant, showy, evergreen",drought,banks and slopesbeds and bordershedges and screens,coastal gardenmediterranean garden,6,8,180,240,6,8,180,240,8,10
331,ceanothus pershore zanzibar california lilac,"8
– 10","5, 6,  7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,full sun,spring (late),"5'
– 8'
(150cm
– 240cm)","5'
– 8'
(150cm
– 240cm)","low, average","clay, loam, sand",,"moist but well-drained, well-drained","cut flowers, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean garden,5,8,150,240,5,8,150,240,8,10
332,ceanothus puget blue california lilac,"7
– 10","6, 7, 8, 9, 14,  15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,"full sun, partial sun",spring (late),"6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)","low, average","clay, loam, sand",,"moist but well-drained, well-drained","cut flowers, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean garden,6,8,180,240,6,8,180,240,7,10
333,ceanothus ray hartman california lilac,"9
– 11","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19,  20, 21, 22, 23, 24","shrubs, trees",ceanothus - california lilac,full sun,spring (late),"12'
– 20'
(3.6m
– 6m)","10'
– 20'
(3m
– 6m)",low,"clay, loam, sand",,well-drained,"cut flowers, plant of merit, showy, evergreen","drought, dry soil, rocky soil, salt",beds and bordershedges and screens,coastal gardeninformal and cottagemediterranean garden,12,20,360,600,10,20,300,600,9,11
334,ceanothus remote blue mountain lilac,"8
– 10","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,full sun,"spring (mid,late)","6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",low,"clay, loam, sand",,well-drained,"cut flowers, fragrant, showy, evergreen",drought,beds and bordershedges and screens,mediterranean garden,6,8,180,240,6,8,180,240,8,10
335,ceanothus skylark california lilac,"7
– 10","6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,"full sun, partial sun",spring (late),"4'
– 6'
(120cm
– 180cm)","9'
– 12'
(270cm
– 3.6m)","low, average","clay, loam, sand",,"moist but well-drained, well-drained","cut flowers, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean garden,4,6,120,180,9,12,270,360,7,10
336,ceanothus tuxedo california lilac,"8
– 10","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,"full sun, partial sun",summer (late),"6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",low,"clay, loam, sand",,well-drained,"cut flowers, showy","drought, dry soil, rocky soil",beds and bordershedges and screenswall-side borders,informal and cottagemediterranean garden,6,8,180,240,6,8,180,240,8,10
337,ceanothus victoria california lilac,"7
– 10","4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,full sun,spring (late),"4'
– 6'
(120cm
– 180cm)","9'
– 12'
(270cm
– 3.6m)",low,"clay, loam, sand",,well-drained,"cut flowers, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean garden,4,6,120,180,9,12,270,360,7,10
338,ceanothus  delileanus gloire de versailles california lilac,"6
– 10","5, 6, 7, 8, 9,  14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,"full sun, partial sun",spring (late),"3'
– 5'
(90cm
– 150cm)","3'
– 5'
(90cm
– 150cm)",average,"clay, loam, sand",,"moist but well-drained, well-drained","fragrant, plant of merit, showy, semi-evergreen","deer, drought, rabbit, salt",beds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean garden,3,5,90,150,3,5,90,150,6,10
339,ceanothus  pallidus marie simon california lilac,"6
– 11","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,full sun,"summer (early,mid,late)","4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,"clay, loam, sand",,"moist but well-drained, well-drained","fragrant, showy","deer, drought, rabbit",beds and borderssmall gardenswall-side borders,informal and cottagemediterranean garden,4,5,120,150,4,5,120,150,6,11
341,ceanothus arboreus trewithen blue california lilac,"8
– 10","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,"full sun, partial sun",spring (late),"15'
– 20'
(4.5m
– 6m)","20'
– 25'
(6m
– 7.5m)",low,"clay, loam, sand",,well-drained,"cut flowers, fragrant, plant of merit, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil",beds and bordershedges and screenswall-side borders,informal and cottagemediterranean garden,15,20,450,600,20,25,600,750,8,10
342,ceanothus cuneatus buckbrush,"8
– 11","7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,full sun,"summer (early,mid)","5'
– 12'
(150cm
– 3.6m)","5'
– 12'
(150cm
– 3.6m)",low,"loam, sand",,well-drained,"fragrant, showy, evergreen","deer, drought, dry soil, rocky soil",banks and slopeshedges and screens,mediterranean garden,5,12,150,360,5,12,150,360,8,11
344,ceanothus impressus var. nipomensis arroyo grande lilac,"8
– 10","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,full sun,"spring (mid,late)","6'
– 8'
(180cm
– 240cm)","8'
– 10'
(240cm
– 3m)",low,sand,,well-drained,"cut flowers, fragrant, showy, evergreen","deer, drought, rabbit, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardenmediterranean garden,6,8,180,240,8,10,240,300,8,10
345,ceanothus integerrimus deerbrush,"7
– 9","1, 1a, 1b, 2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 14, 15, 16, 17, 18, 19, 20, 21",shrubs,ceanothus - california lilac,full sun,spring (late),"3'
– 13'
(90cm
– 3.9m)","5'
– 7'
(150cm
– 210cm)",low,"loam, sand",,well-drained,"fragrant, showy, evergreen, semi-evergreen","clay soil, drought, dry soil",banks and slopesbeds and borders,informal and cottagemediterranean garden,3,13,90,390,5,7,150,210,7,9
346,ceanothus oliganthus hairy ceanothus,"7
– 10","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,full sun,"spring (early,mid,late)","8'
– 10'
(240cm
– 3m)","10'
– 12'
(3m
– 3.6m)",low,"loam, sand",,well-drained,"fragrant, showy, evergreen","clay soil, drought",banks and slopesbeds and bordershedges and screens,coastal gardeninformal and cottagemediterranean garden,8,10,240,300,10,12,300,360,7,10
347,ceanothus thyrsiflorus snow flurry california lilac,"7
– 11","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","shrubs, trees",ceanothus - california lilac,"full sun, partial sun","spring (mid,late)","6'
– 10'
(180cm
– 3m)","8'
– 12'
(240cm
– 3.6m)","low, average","clay, loam, sand",,"moist but well-drained, well-drained","fragrant, showy, evergreen","clay soil, drought",hedges and screens,city and courtyardinformal and cottagemediterranean garden,6,10,180,300,8,12,240,360,7,11
348,ceanothus thyrsiflorus blue blossom,"7
– 11","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,"full sun, partial sun","spring (mid,late)","15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)","low, average","clay, loam, sand",,"moist but well-drained, well-drained","showy, evergreen","clay soil, drought, dry soil, rocky soil, salt",banks and slopesbeds and bordershedges and screenswall-side borders,city and courtyardcoastal gardeninformal and cottagemediterranean garden,15,20,450,600,15,20,450,600,7,11
350,ceanothus thyrsiflorus var. repens creeping blue blossom,"7
– 11","5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",shrubs,ceanothus - california lilac,"full sun, partial sun","spring (mid,late)","2'
– 3'
(60cm
– 90cm)","6'
– 10'
(180cm
– 3m)","low, average","clay, loam, sand",,"moist but well-drained, well-drained","plant of merit, showy, evergreen","clay soil, drought",banks and slopesbeds and bordersground coverswall-side borders,city and courtyardinformal and cottagemediterranean garden,2,3,60,90,6,10,180,300,7,11
354,cercis chinensis don egolf chinese redbud,"6
– 9","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","shrubs, trees",cercis - redbuds,"full sun, partial sun","spring (early,mid)","10'
– 12'
(3m
– 3.6m)","10'
– 12'
(3m
– 3.6m)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",deer,beds and borderspatio and containerssmall gardens,informal and cottagetraditional garden,10,12,300,360,10,12,300,360,6,9
355,cercis occidentalis western redbud,"6
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","shrubs, trees",cercis - redbuds,"full sun, partial sun","spring (early,mid,late)","10'
– 15'
(3m
– 4.5m)","10'
– 15'
(3m
– 4.5m)",low,"chalk, clay, loam, sand",,well-drained,showy,"clay soil, deer, drought",beds and borderssmall gardens,informal and cottagemediterranean gardentraditional garden,10,15,300,450,10,15,300,450,6,9
358,chaenomeles toyo nishiki japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"7'
– 8'
(210cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, showy","clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,7,8,210,240,6,8,180,240,5,9
359,chaenomeles japonica japanese quince,"5
– 9","2, 2a, 2b, 3, 3a,  3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"2'
– 3'
(60cm
– 90cm)","3'
– 6'
(90cm
– 180cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, showy","clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,2,3,60,90,3,6,90,180,5,9
360,chaenomeles speciosa falconnet charlet japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun","spring (early,mid)","5'
– 6'
(150cm
– 180cm)","8'
– 10'
(240cm
– 3m)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, showy","clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,5,6,150,180,8,10,240,300,5,9
361,chaenomeles speciosa geisha girl japanese quince,"4
– 8","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun","spring (early,mid,late)","4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, plant of merit, showy","clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,4,5,120,150,4,5,120,150,4,8
362,chaenomeles speciosa kinshiden japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"5'
– 8'
(150cm
– 240cm)","6'
– 10'
(180cm
– 3m)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, showy","clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,5,8,150,240,6,10,180,300,5,9
363,chaenomeles speciosa moerloosei japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"3'
– 10'
(90cm
– 3m)","4'
– 15'
(120cm
– 4.5m)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, plant of merit, showy","clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,3,10,90,300,4,15,120,450,5,9
364,chaenomeles speciosa nivalis japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"7'
– 8'
(210cm
– 240cm)","12'
– 13'
(3.6m
– 3.9m)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, showy","clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,7,8,210,240,12,13,360,390,5,9
365,chaenomeles speciosa double take orange japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun","spring (early,mid,late)","4'
– 5'
(120cm
– 150cm)","3'
– 4'
(90cm
– 120cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained",showy,"clay soil, deer, drought",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,4,5,120,150,3,4,90,120,5,9
366,chaenomeles speciosa double take peach japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun","spring (mid,late)","4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained",showy,"clay soil, deer, drought",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,4,5,120,150,4,5,120,150,5,9
367,chaenomeles speciosa double take pink japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun","spring (early,mid,late)","4'
– 5'
(120cm
– 150cm)","3'
– 4'
(90cm
– 120cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained",showy,"clay soil, deer, drought",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,4,5,120,150,3,4,90,120,5,9
368,chaenomeles speciosa double take scarlet japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun,  partial sun","spring (early,mid,late)","4'
– 5'
(120cm
– 150cm)","3'
– 4'
(90cm
– 120cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained",showy,"clay soil, deer, drought",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,4,5,120,150,3,4,90,120,5,9
369,chaenomeles x superba cameo japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (mid),"4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, showy","clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,4,5,120,150,4,5,120,150,5,9
370,chaenomeles x superba coral sea japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, showy","clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,2,3,60,90,3,4,90,120,5,9
371,chaenomeles x superba crimson and gold japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, plant of merit, showy","clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,2,3,60,90,2,3,60,90,5,9
372,chaenomeles x superba jet trail japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","cut flowers, fragrant, showy","clay soil, deer, drought, rabbit",banks and slopesbeds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,3,4,90,120,3,4,90,120,5,9
373,chaenomeles x superba knap hill scarlet japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"4'
– 5'
(120cm
– 150cm)","5'
– 8'
(150cm
– 240cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, showy","clay soil, deer, drought, rabbit",banks and slopesbeds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,4,5,120,150,5,8,150,240,5,9
374,chaenomeles x superba lemon and lime japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"4'
– 5'
(120cm
– 150cm)","5'
– 6'
(150cm
– 180cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, showy","clay soil, deer, drought, rabbit",beds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,4,5,120,150,5,6,150,180,5,9
375,chaenomeles x superba nicoline japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"3'
– 4'
(90cm
– 120cm)","5'
– 6'
(150cm
– 180cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, plant of merit, showy","clay soil, deer, drought, rabbit",banks and slopesbeds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,3,4,90,120,5,6,150,180,5,9
376,chaenomeles x superba pink lady japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12,  13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"4'
– 5'
(120cm
– 150cm)","5'
– 6'
(150cm
– 180cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","fragrant, plant of merit, showy","clay soil, deer, drought, rabbit",banks and slopesbeds and bordershedges and screenswall-side borders,coastal gardeninformal and cottagemediterranean gardentraditional garden,4,5,120,150,5,6,150,180,5,9
377,chaenomeles x superba texas scarlet japanese quince,"5
– 9","2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",shrubs,chaenomeles - flowering quinces,"full sun, partial sun",spring (early),"3'
– 4'
(90cm
– 120cm)","4'
– 5'
(120cm
– 150cm)",average,"chalk, clay, loam, sand",,"moist but well-drained, well-drained","cut flowers, fragrant, showy","clay soil, deer, drought, rabbit",banks and slopesbeds and bordershedges and screenswall-side borders,informal and cottagetraditional garden,3,4,90,120,4,5,120,150,5,9
388,chamaecyparis obtusa pygmaea hinoki cypress,"4
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 15, 16, 17, a3","conifers, shrubs",chamaecyparis - false cypress,"full sun, partial sun","spring (early,mid,late)","2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",average,"chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen",drought,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagetraditional garden,2,3,60,90,4,5,120,150,4,8
389,chamaecyparis pisifera curly tops sawara cypress,"4
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 15, 16, 17, a3","conifers, shrubs",chamaecyparis - false cypress,"full sun, partial sun","spring (early,mid,late)","1'
– 5'
(30cm
– 150cm)","1'
– 5'
(30cm
– 150cm)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy, evergreen",drought,hedges and screens,city and courtyardgravel and rock gardeninformal and cottageprairie and meadowtraditional garden,1,5,30,150,1,5,30,150,4,8
390,chamaecyparis pisifera filifera aurea sawara cypress,"4
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 15, 16, 17, a3","conifers, shrubs",chamaecyparis - false cypress,"full sun, partial sun","spring (early,mid,late)","6'
– 20'
(180cm
– 6m)","3'
– 7'
(90cm
– 210cm)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy, evergreen",drought,hedges and screens,city and courtyardgravel and rock gardeninformal and cottageprairie and meadowtraditional garden,6,20,180,600,3,7,90,210,4,8
391,chamaecyparis pisifera golden mop sawara cypress,"4
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 15, 16, 17, a3","conifers, shrubs",chamaecyparis - false cypress,"full sun, partial sun","spring (early,mid,late)","1'
– 5'
(30cm
– 150cm)","1'
– 5'
(30cm
– 150cm)",average,"chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen",drought,hedges and screens,city and courtyardgravel and rock gardeninformal and cottageprairie and meadowtraditional garden,1,5,30,150,1,5,30,150,4,8
392,chamaecyparis pisifera soft serve sawara cypress,"4
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 15, 16, 17, a3","conifers, shrubs",chamaecyparis - false cypress,"full sun, partial sun","spring (early,mid,late)","6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",average,"chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen",drought,beds and bordershedges and screens,city and courtyardinformal and cottagetraditional garden,6,10,180,300,6,10,180,300,4,8
393,chamaecyparis pisifera soft serve gold sawara cypress,"4
– 8","2, 2b, 3, 3a, 3b, 4,  5, 6, 15, 16, 17, a3","conifers, shrubs",chamaecyparis - false cypress,"full sun, partial sun","spring (early,mid,late)","6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",average,"chalk, clay, loam, sand",,moist but well-drained,"showy, evergreen",drought,beds and bordershedges and screens,city and courtyardinformal and cottagetraditional garden,6,10,180,300,6,10,180,300,4,8
